team_id,unit,slot,slot_position,depth_order,player_id,player_position,is_starter,data_class
BUF,Offense,QB,QB,1,BUF_QB_01,QB,1,MODELED
BUF,Offense,QB,QB,2,BUF_QB_02,QB,0,MODELED
BUF,Offense,RB,RB,1,BUF_RB_01,RB,1,MODELED
BUF,Offense,RB,RB,2,BUF_RB_02,RB,0,MODELED
BUF,Offense,RB,RB,3,BUF_RB_03,RB,0,MODELED
BUF,Offense,FB,FB,1,BUF_FB_01,FB,1,MODELED
BUF,Offense,WR_X,WR,1,BUF_WR_03,WR,1,MODELED
BUF,Offense,WR_X,WR,2,BUF_WR_02,WR,0,MODELED
BUF,Offense,WR_X,WR,3,BUF_WR_01,WR,0,MODELED
BUF,Offense,WR_Z,WR,1,BUF_WR_02,WR,1,MODELED
BUF,Offense,WR_Z,WR,2,BUF_WR_01,WR,0,MODELED
BUF,Offense,WR_Z,WR,3,BUF_WR_04,WR,0,MODELED
BUF,Offense,WR_SLOT,WR,1,BUF_WR_01,WR,1,MODELED
BUF,Offense,WR_SLOT,WR,2,BUF_WR_04,WR,0,MODELED
BUF,Offense,TE_Y,TE,1,BUF_TE_03,TE,1,MODELED
BUF,Offense,TE_Y,TE,2,BUF_TE_01,TE,0,MODELED
BUF,Offense,TE_F,TE,1,BUF_TE_01,TE,1,MODELED
BUF,Offense,TE_F,TE,2,BUF_TE_02,TE,0,MODELED
BUF,Offense,LT,OT,1,BUF_OT_02,OT,1,MODELED
BUF,Offense,LT,OT,2,BUF_OT_01,OT,0,MODELED
BUF,Offense,LG,OG,1,BUF_OG_01,OG,1,MODELED
BUF,Offense,LG,OG,2,BUF_OG_02,OG,0,MODELED
BUF,Offense,C,C,1,BUF_C_01,C,1,MODELED
BUF,Offense,C,C,2,BUF_C_02,C,0,MODELED
BUF,Offense,RG,OG,1,BUF_OG_02,OG,1,MODELED
BUF,Offense,RG,OG,2,BUF_OG_03,OG,0,MODELED
BUF,Offense,RT,OT,1,BUF_OT_01,OT,1,MODELED
BUF,Offense,RT,OT,2,BUF_OT_03,OT,0,MODELED
BUF,Defense,LDE,DT,1,BUF_DT_04,DT,1,MODELED
BUF,Defense,LDE,DT,2,BUF_DT_05,DT,0,MODELED
BUF,Defense,NT,DT,1,BUF_DT_05,DT,1,MODELED
BUF,Defense,NT,DT,2,BUF_DT_01,DT,0,MODELED
BUF,Defense,RDE,DT,1,BUF_DT_01,DT,1,MODELED
BUF,Defense,RDE,DT,2,BUF_DT_02,DT,0,MODELED
BUF,Defense,LOLB,EDGE,1,BUF_EDGE_01,EDGE,1,MODELED
BUF,Defense,LOLB,EDGE,2,BUF_EDGE_02,EDGE,0,MODELED
BUF,Defense,ROLB,EDGE,1,BUF_EDGE_02,EDGE,1,MODELED
BUF,Defense,ROLB,EDGE,2,BUF_EDGE_05,EDGE,0,MODELED
BUF,Defense,ILB_MIKE,LB,1,BUF_LB_01,LB,1,MODELED
BUF,Defense,ILB_MIKE,LB,2,BUF_LB_02,LB,0,MODELED
BUF,Defense,ILB_WILL,LB,1,BUF_LB_02,LB,1,MODELED
BUF,Defense,ILB_WILL,LB,2,BUF_LB_04,LB,0,MODELED
BUF,Defense,CB_1,CB,1,BUF_CB_03,CB,1,MODELED
BUF,Defense,CB_1,CB,2,BUF_CB_02,CB,0,MODELED
BUF,Defense,CB_2,CB,1,BUF_CB_02,CB,1,MODELED
BUF,Defense,CB_2,CB,2,BUF_CB_01,CB,0,MODELED
BUF,Defense,NICKEL,CB,1,BUF_CB_01,CB,1,MODELED
BUF,Defense,NICKEL,CB,2,BUF_CB_06,CB,0,MODELED
BUF,Defense,FS,S,1,BUF_S_02,S,1,MODELED
BUF,Defense,FS,S,2,BUF_S_01,S,0,MODELED
BUF,Defense,SS,S,1,BUF_S_01,S,1,MODELED
BUF,Defense,SS,S,2,BUF_S_03,S,0,MODELED
BUF,Special Teams,K,K,1,BUF_K_01,K,1,MODELED
BUF,Special Teams,P,P,1,BUF_P_01,P,1,MODELED
BUF,Special Teams,LS,LS,1,BUF_LS_01,LS,1,MODELED
BUF,Special Teams,KR,WR,1,BUF_WR_04,WR,1,MODELED
BUF,Special Teams,KR,WR,2,BUF_WR_06,WR,0,MODELED
BUF,Special Teams,PR,WR,1,BUF_WR_06,WR,1,MODELED
BUF,Special Teams,PR,WR,2,BUF_WR_05,WR,0,MODELED
BUF,Special Teams,GUNNER,S,1,BUF_S_03,S,1,MODELED
BUF,Special Teams,GUNNER,S,2,BUF_S_04,S,0,MODELED
MIA,Offense,QB,QB,1,MIA_QB_01,QB,1,MODELED
MIA,Offense,QB,QB,2,MIA_QB_02,QB,0,MODELED
MIA,Offense,RB,RB,1,MIA_RB_02,RB,1,MODELED
MIA,Offense,RB,RB,2,MIA_RB_01,RB,0,MODELED
MIA,Offense,RB,RB,3,MIA_RB_03,RB,0,MODELED
MIA,Offense,FB,FB,1,MIA_FB_01,FB,1,MODELED
MIA,Offense,WR_X,WR,1,MIA_WR_01,WR,1,MODELED
MIA,Offense,WR_X,WR,2,MIA_WR_06,WR,0,MODELED
MIA,Offense,WR_X,WR,3,MIA_WR_03,WR,0,MODELED
MIA,Offense,WR_Z,WR,1,MIA_WR_06,WR,1,MODELED
MIA,Offense,WR_Z,WR,2,MIA_WR_03,WR,0,MODELED
MIA,Offense,WR_Z,WR,3,MIA_WR_02,WR,0,MODELED
MIA,Offense,WR_SLOT,WR,1,MIA_WR_03,WR,1,MODELED
MIA,Offense,WR_SLOT,WR,2,MIA_WR_02,WR,0,MODELED
MIA,Offense,TE_Y,TE,1,MIA_TE_02,TE,1,MODELED
MIA,Offense,TE_Y,TE,2,MIA_TE_03,TE,0,MODELED
MIA,Offense,TE_F,TE,1,MIA_TE_03,TE,1,MODELED
MIA,Offense,TE_F,TE,2,MIA_TE_01,TE,0,MODELED
MIA,Offense,LT,OT,1,MIA_OT_04,OT,1,MODELED
MIA,Offense,LT,OT,2,MIA_OT_02,OT,0,MODELED
MIA,Offense,LG,OG,1,MIA_OG_01,OG,1,MODELED
MIA,Offense,LG,OG,2,MIA_OG_02,OG,0,MODELED
MIA,Offense,C,C,1,MIA_C_01,C,1,MODELED
MIA,Offense,C,C,2,MIA_C_02,C,0,MODELED
MIA,Offense,RG,OG,1,MIA_OG_02,OG,1,MODELED
