player_id,position,season,team
DET_QB_01,QB,2026,FIRST
GB_RB_01,RB,2026,FIRST
TEN_WR_01,WR,2026,FIRST
CAR_WR_03,WR,2026,FIRST
CHI_WR_01,WR,2026,FIRST
TEN_TE_03,TE,2026,FIRST
PHI_OT_02,OT,2026,FIRST
LV_OT_02,OT,2026,FIRST
DET_OG_02,OG,2026,FIRST
IND_OG_01,OG,2026,FIRST
LAR_C_01,C,2026,FIRST
DAL_EDGE_02,EDGE,2026,FIRST
DET_EDGE_01,EDGE,2026,FIRST
DET_DT_02,DT,2026,FIRST
TEN_DT_02,DT,2026,FIRST
JAX_LB_01,LB,2026,FIRST
PIT_LB_02,LB,2026,FIRST
KC_CB_02,CB,2026,FIRST
ATL_CB_02,CB,2026,FIRST
SF_S_02,S,2026,FIRST
NYJ_S_02,S,2026,FIRST
PIT_K_01,K,2026,FIRST
WAS_P_01,P,2026,FIRST
DEN_QB_01,QB,2026,SECOND
SF_RB_01,RB,2026,SECOND
SF_WR_03,WR,2026,SECOND
GB_WR_01,WR,2026,SECOND
CLE_WR_03,WR,2026,SECOND
NYJ_TE_01,TE,2026,SECOND
DAL_OT_01,OT,2026,SECOND
NYJ_OT_01,OT,2026,SECOND
WAS_OG_02,OG,2026,SECOND
PIT_OG_02,OG,2026,SECOND
NO_C_01,C,2026,SECOND
PHI_EDGE_01,EDGE,2026,SECOND
ATL_EDGE_01,EDGE,2026,SECOND
DET_DT_01,DT,2026,SECOND
PHI_DT_01,DT,2026,SECOND
ATL_LB_01,LB,2026,SECOND
DET_LB_01,LB,2026,SECOND
DEN_CB_02,CB,2026,SECOND
CHI_CB_01,CB,2026,SECOND
TEN_S_01,S,2026,SECOND
TB_S_01,S,2026,SECOND
LAC_K_01,K,2026,SECOND
LV_P_01,P,2026,SECOND
IND_QB_01,QB,2027,FIRST
CIN_RB_01,RB,2027,FIRST
CAR_WR_01,WR,2027,FIRST
LAR_WR_02,WR,2027,FIRST
PIT_WR_02,WR,2027,FIRST
NYJ_TE_01,TE,2027,FIRST
CAR_OT_01,OT,2027,FIRST
LV_OT_02,OT,2027,FIRST
IND_OG_01,OG,2027,FIRST
DET_OG_02,OG,2027,FIRST
LAR_C_01,C,2027,FIRST
DET_EDGE_02,EDGE,2027,FIRST
MIN_EDGE_02,EDGE,2027,FIRST
ATL_DT_01,DT,2027,FIRST
CAR_DT_02,DT,2027,FIRST
BAL_LB_01,LB,2027,FIRST
PIT_LB_04,LB,2027,FIRST
DEN_CB_01,CB,2027,FIRST
TEN_CB_03,CB,2027,FIRST
KC_S_01,S,2027,FIRST
ATL_S_01,S,2027,FIRST
KC_K_01,K,2027,FIRST
WAS_P_01,P,2027,FIRST
GB_QB_01,QB,2027,SECOND
SF_RB_01,RB,2027,SECOND
PHI_WR_03,WR,2027,SECOND
BAL_WR_03,WR,2027,SECOND
CAR_WR_03,WR,2027,SECOND
CLE_TE_01,TE,2027,SECOND
TB_OT_02,OT,2027,SECOND
PIT_OT_01,OT,2027,SECOND
LAR_OG_01,OG,2027,SECOND
PHI_OG_01,OG,2027,SECOND
NE_C_01,C,2027,SECOND
SEA_EDGE_02,EDGE,2027,SECOND
DET_EDGE_01,EDGE,2027,SECOND
DEN_DT_02,DT,2027,SECOND
LAR_DT_05,DT,2027,SECOND
DET_LB_02,LB,2027,SECOND
KC_LB_02,LB,2027,SECOND
TB_CB_03,CB,2027,SECOND
CLE_CB_02,CB,2027,SECOND
TEN_S_01,S,2027,SECOND
CLE_S_02,S,2027,SECOND
NE_K_01,K,2027,SECOND
MIN_P_01,P,2027,SECOND
GB_QB_01,QB,2028,FIRST
KC_RB_01,RB,2028,FIRST
LV_WR_01,WR,2028,FIRST
CAR_WR_01,WR,2028,FIRST
DEN_WR_01,WR,2028,FIRST
DET_TE_01,TE,2028,FIRST
DAL_OT_01,OT,2028,FIRST
ATL_OT_01,OT,2028,FIRST
DET_OG_02,OG,2028,FIRST
PIT_OG_02,OG,2028,FIRST
LAR_C_01,C,2028,FIRST
SF_EDGE_02,EDGE,2028,FIRST
MIN_EDGE_02,EDGE,2028,FIRST
TB_DT_02,DT,2028,FIRST
KC_DT_01,DT,2028,FIRST
TB_LB_02,LB,2028,FIRST
PIT_LB_02,LB,2028,FIRST
NYJ_CB_03,CB,2028,FIRST
KC_CB_02,CB,2028,FIRST
ARI_S_01,S,2028,FIRST
TB_S_02,S,2028,FIRST
LAR_K_01,K,2028,FIRST
BAL_P_01,P,2028,FIRST
PIT_QB_01,QB,2028,SECOND
P100058_RB,RB,2028,SECOND
NE_WR_02,WR,2028,SECOND
DAL_WR_01,WR,2028,SECOND
CLE_WR_02,WR,2028,SECOND
NYJ_TE_01,TE,2028,SECOND
CLE_OT_02,OT,2028,SECOND
P100449_OT,OT,2028,SECOND
PIT_OG_01,OG,2028,SECOND
BAL_OG_02,OG,2028,SECOND
CHI_C_01,C,2028,SECOND
BAL_EDGE_02,EDGE,2028,SECOND
CLE_EDGE_01,EDGE,2028,SECOND
DEN_DT_02,DT,2028,SECOND
CHI_DT_01,DT,2028,SECOND
FA_LB_159,LB,2028,SECOND
TEN_LB_01,LB,2028,SECOND
BAL_CB_03,CB,2028,SECOND
NYJ_CB_02,CB,2028,SECOND
SF_S_02,S,2028,SECOND
CHI_S_01,S,2028,SECOND
GB_K_01,K,2028,SECOND
CIN_P_01,P,2028,SECOND
IND_QB_01,QB,2029,FIRST
CIN_RB_01,RB,2029,FIRST
PHI_WR_03,WR,2029,FIRST
IND_WR_02,WR,2029,FIRST
CAR_WR_06,WR,2029,FIRST
ATL_TE_01,TE,2029,FIRST
LV_OT_02,OT,2029,FIRST
LV_OT_01,OT,2029,FIRST
TEN_OG_04,OG,2029,FIRST
PIT_OG_01,OG,2029,FIRST
NO_C_01,C,2029,FIRST
DET_EDGE_02,EDGE,2029,FIRST
CLE_EDGE_01,EDGE,2029,FIRST
PHI_DT_01,DT,2029,FIRST
DET_DT_03,DT,2029,FIRST
JAX_LB_01,LB,2029,FIRST
JAX_LB_02,LB,2029,FIRST
GB_CB_03,CB,2029,FIRST
IND_CB_02,CB,2029,FIRST
SF_S_01,S,2029,FIRST
TB_S_01,S,2029,FIRST
P100306_K,K,2029,FIRST
PHI_P_01,P,2029,FIRST
ATL_QB_01,QB,2029,SECOND
DAL_RB_03,RB,2029,SECOND
PIT_WR_02,WR,2029,SECOND
DEN_WR_02,WR,2029,SECOND
PIT_WR_03,WR,2029,SECOND
TEN_TE_03,TE,2029,SECOND
KC_OT_01,OT,2029,SECOND
MIN_OT_01,OT,2029,SECOND
PHI_OG_02,OG,2029,SECOND
SF_OG_01,OG,2029,SECOND
CAR_C_01,C,2029,SECOND
NO_EDGE_02,EDGE,2029,SECOND
MIN_EDGE_02,EDGE,2029,SECOND
JAX_DT_05,DT,2029,SECOND
MIN_DT_02,DT,2029,SECOND
CAR_LB_01,LB,2029,SECOND
PIT_LB_01,LB,2029,SECOND
IND_CB_01,CB,2029,SECOND
LAR_CB_02,CB,2029,SECOND
BUF_S_02,S,2029,SECOND
NYG_S_01,S,2029,SECOND
ARI_K_01,K,2029,SECOND
ATL_P_01,P,2029,SECOND
GB_QB_01,QB,2030,FIRST
CIN_RB_01,RB,2030,FIRST
NE_WR_02,WR,2030,FIRST
P101125_WR,WR,2030,FIRST
CAR_WR_06,WR,2030,FIRST
