player_id,position,season,team_id
MIA_QB_01,QB,32416.0,MIA
MIA_RB_02,RB,34442.0,MIA
MIA_RB_01,RB,24312.0,MIA
MIA_RB_03,RB,34442.0,MIA
MIA_WR_01,WR,34442.0,MIA
MIA_WR_06,WR,34442.0,MIA
MIA_WR_03,WR,34442.0,MIA
MIA_WR_04,WR,10130.0,MIA
MIA_TE_02,TE,34442.0,MIA
MIA_TE_03,TE,30390.0,MIA
MIA_OT_04,OT,28364.0,MIA
MIA_OT_02,OT,34442.0,MIA
MIA_OG_01,OG,32416.0,MIA
MIA_OG_02,OG,28364.0,MIA
MIA_C_01,C,26338.0,MIA
MIA_EDGE_01,EDGE,32416.0,MIA
MIA_EDGE_02,EDGE,30390.0,MIA
MIA_EDGE_04,EDGE,24312.0,MIA
MIA_EDGE_03,EDGE,32416.0,MIA
MIA_DT_01,DT,34442.0,MIA
MIA_DT_04,DT,26338.0,MIA
MIA_DT_02,DT,34442.0,MIA
MIA_LB_03,LB,30390.0,MIA
MIA_LB_05,LB,32416.0,MIA
MIA_LB_04,LB,34442.0,MIA
MIA_CB_03,CB,28364.0,MIA
MIA_CB_01,CB,26338.0,MIA
MIA_CB_02,CB,34442.0,MIA
MIA_CB_05,CB,32416.0,MIA
MIA_S_02,S,28364.0,MIA
MIA_S_03,S,34442.0,MIA
MIA_S_04,S,34442.0,MIA
MIA_K_01,K,34442.0,MIA
MIA_P_01,P,32416.0,MIA
NE_QB_01,QB,34442.0,NE
NE_RB_01,RB,10130.0,NE
NE_RB_03,RB,34442.0,NE
NE_RB_02,RB,18234.0,NE
NE_WR_01,WR,34442.0,NE
NE_WR_03,WR,34442.0,NE
NE_WR_06,WR,34442.0,NE
NE_WR_04,WR,2026.0,NE
NE_TE_01,TE,34442.0,NE
NE_TE_03,TE,32416.0,NE
NE_OT_02,OT,34442.0,NE
NE_OT_03,OT,26338.0,NE
NE_OG_01,OG,34442.0,NE
NE_OG_02,OG,34442.0,NE
NE_C_01,C,34442.0,NE
NE_EDGE_01,EDGE,34442.0,NE
NE_EDGE_02,EDGE,14182.0,NE
