expected_wins,season,team_id
13.0,2026,BUF
13.0,2026,MIA
13.0,2026,NE
13.0,2026,NYJ
13.0,2026,BAL
13.0,2026,PIT
13.0,2026,CLE
13.0,2026,CIN
13.0,2026,HOU
13.0,2026,IND
13.0,2026,JAX
13.0,2026,TEN
13.0,2026,DEN
13.0,2026,KC
13.0,2026,LV
13.0,2026,LAC
13.0,2026,DAL
13.0,2026,PHI
13.0,2026,WAS
13.0,2026,NYG
13.0,2026,CHI
13.0,2026,DET
13.0,2026,GB
13.0,2026,MIN
13.0,2026,ATL
13.0,2026,CAR
13.0,2026,NO
13.0,2026,TB
13.0,2026,ARI
13.0,2026,LAR
13.0,2026,SF
13.0,2026,SEA
13.0,2027,BUF
13.0,2027,MIA
13.0,2027,NE
13.0,2027,NYJ
13.0,2027,BAL
13.0,2027,PIT
13.0,2027,CLE
13.0,2027,CIN
13.0,2027,HOU
13.0,2027,IND
13.0,2027,JAX
13.0,2027,TEN
13.0,2027,DEN
13.0,2027,KC
13.0,2027,LV
13.0,2027,LAC
13.0,2027,DAL
13.0,2027,PHI
13.0,2027,WAS
13.0,2027,NYG
13.0,2027,CHI
13.0,2027,DET
13.0,2027,GB
13.0,2027,MIN
13.0,2027,ATL
13.0,2027,CAR
13.0,2027,NO
13.0,2027,TB
13.0,2027,ARI
13.0,2027,LAR
13.0,2027,SF
13.0,2027,SEA
13.0,2028,BUF
13.0,2028,MIA
13.0,2028,NE
13.0,2028,NYJ
13.0,2028,BAL
13.0,2028,PIT
13.0,2028,CLE
13.0,2028,CIN
13.0,2028,HOU
13.0,2028,IND
13.0,2028,JAX
13.0,2028,TEN
13.0,2028,DEN
13.0,2028,KC
13.0,2028,LV
13.0,2028,LAC
13.0,2028,DAL
13.0,2028,PHI
13.0,2028,WAS
13.0,2028,NYG
13.0,2028,CHI
13.0,2028,DET
13.0,2028,GB
13.0,2028,MIN
13.0,2028,ATL
13.0,2028,CAR
13.0,2028,NO
13.0,2028,TB
13.0,2028,ARI
13.0,2028,LAR
13.0,2028,SF
13.0,2028,SEA
13.0,2029,BUF
13.0,2029,MIA
13.0,2029,NE
13.0,2029,NYJ
13.0,2029,BAL
13.0,2029,PIT
13.0,2029,CLE
13.0,2029,CIN
13.0,2029,HOU
13.0,2029,IND
13.0,2029,JAX
13.0,2029,TEN
13.0,2029,DEN
13.0,2029,KC
13.0,2029,LV
13.0,2029,LAC
13.0,2029,DAL
13.0,2029,PHI
13.0,2029,WAS
13.0,2029,NYG
13.0,2029,CHI
13.0,2029,DET
13.0,2029,GB
13.0,2029,MIN
13.0,2029,ATL
13.0,2029,CAR
13.0,2029,NO
13.0,2029,TB
13.0,2029,ARI
13.0,2029,LAR
13.0,2029,SF
13.0,2029,SEA
13.0,2030,BUF
13.0,2030,MIA
13.0,2030,NE
13.0,2030,NYJ
13.0,2030,BAL
13.0,2030,PIT
13.0,2030,CLE
13.0,2030,CIN
13.0,2030,HOU
13.0,2030,IND
13.0,2030,JAX
13.0,2030,TEN
13.0,2030,DEN
13.0,2030,KC
13.0,2030,LV
13.0,2030,LAC
13.0,2030,DAL
13.0,2030,PHI
13.0,2030,WAS
13.0,2030,NYG
13.0,2030,CHI
13.0,2030,DET
13.0,2030,GB
13.0,2030,MIN
13.0,2030,ATL
13.0,2030,CAR
13.0,2030,NO
13.0,2030,TB
13.0,2030,ARI
13.0,2030,LAR
13.0,2030,SF
13.0,2030,SEA
13.0,2031,BUF
13.0,2031,MIA
13.0,2031,NE
13.0,2031,NYJ
13.0,2031,BAL
13.0,2031,PIT
13.0,2031,CLE
13.0,2031,CIN
13.0,2031,HOU
13.0,2031,IND
13.0,2031,JAX
13.0,2031,TEN
13.0,2031,DEN
13.0,2031,KC
13.0,2031,LV
13.0,2031,LAC
13.0,2031,DAL
13.0,2031,PHI
13.0,2031,WAS
13.0,2031,NYG
13.0,2031,CHI
13.0,2031,DET
13.0,2031,GB
13.0,2031,MIN
13.0,2031,ATL
13.0,2031,CAR
13.0,2031,NO
13.0,2031,TB
13.0,2031,ARI
13.0,2031,LAR
13.0,2031,SF
13.0,2031,SEA
