conference,player_id,position,season
AC,NYJ_QB_01,QB,2026
AC,DEN_QB_01,QB,2026
AC,PIT_QB_01,QB,2026
AC,JAX_RB_01,RB,2026
AC,CIN_RB_01,RB,2026
AC,DEN_RB_01,RB,2026
AC,TEN_WR_01,WR,2026
AC,KC_WR_03,WR,2026
AC,CLE_WR_03,WR,2026
AC,LV_WR_01,WR,2026
AC,NYJ_TE_01,TE,2026
AC,KC_TE_01,TE,2026
AC,LV_OT_02,OT,2026
AC,NYJ_OT_02,OT,2026
AC,NYJ_OT_01,OT,2026
AC,PIT_OG_02,OG,2026
AC,IND_OG_01,OG,2026
AC,LAC_OG_02,OG,2026
AC,IND_C_01,C,2026
AC,TEN_C_01,C,2026
AC,CLE_EDGE_01,EDGE,2026
AC,IND_EDGE_01,EDGE,2026
AC,BAL_EDGE_02,EDGE,2026
AC,LV_EDGE_04,EDGE,2026
AC,TEN_DT_02,DT,2026
AC,DEN_DT_02,DT,2026
AC,KC_DT_02,DT,2026
AC,JAX_LB_01,LB,2026
AC,PIT_LB_02,LB,2026
AC,PIT_LB_01,LB,2026
AC,LV_LB_01,LB,2026
AC,KC_CB_02,CB,2026
AC,DEN_CB_02,CB,2026
AC,DEN_CB_01,CB,2026
AC,KC_CB_03,CB,2026
AC,TEN_S_01,S,2026
AC,NYJ_S_02,S,2026
AC,IND_S_02,S,2026
AC,NYJ_K_01,K,2026
AC,LV_P_01,P,2026
NC,DET_QB_01,QB,2026
NC,CAR_QB_01,QB,2026
NC,GB_QB_01,QB,2026
NC,SF_RB_01,RB,2026
NC,GB_RB_01,RB,2026
NC,PHI_RB_01,RB,2026
NC,SF_WR_03,WR,2026
NC,CAR_WR_03,WR,2026
NC,CHI_WR_01,WR,2026
NC,DET_WR_03,WR,2026
NC,DET_TE_01,TE,2026
NC,ATL_TE_01,TE,2026
NC,DAL_OT_01,OT,2026
NC,CAR_OT_01,OT,2026
NC,SF_OT_01,OT,2026
NC,DET_OG_02,OG,2026
NC,PHI_OG_01,OG,2026
NC,WAS_OG_02,OG,2026
NC,LAR_C_01,C,2026
NC,NO_C_01,C,2026
NC,DAL_EDGE_02,EDGE,2026
NC,ATL_EDGE_01,EDGE,2026
NC,DET_EDGE_01,EDGE,2026
NC,PHI_EDGE_01,EDGE,2026
NC,DET_DT_02,DT,2026
NC,PHI_DT_01,DT,2026
NC,WAS_DT_02,DT,2026
NC,DET_LB_01,LB,2026
NC,ATL_LB_01,LB,2026
NC,PHI_LB_02,LB,2026
NC,NYG_LB_01,LB,2026
NC,ATL_CB_02,CB,2026
NC,ATL_CB_03,CB,2026
NC,SF_CB_01,CB,2026
NC,CHI_CB_01,CB,2026
NC,SF_S_02,S,2026
NC,TB_S_01,S,2026
NC,TB_S_02,S,2026
NC,NO_K_01,K,2026
NC,WAS_P_01,P,2026
AC,IND_QB_01,QB,2027
AC,CIN_QB_01,QB,2027
AC,DEN_QB_01,QB,2027
AC,IND_RB_01,RB,2027
