competition_type,player_id,record,season,value
REGULAR_SEASON,DEN_QB_01,season_pass_yd,2031,5120.0
REGULAR_SEASON,IND_QB_01,season_pass_td,2028,50.0
REGULAR_SEASON,P100963_RB,season_rush_yd,2030,2291.0
REGULAR_SEASON,CIN_RB_01,season_rush_td,2027,21.0
REGULAR_SEASON,DET_RB_02,season_rec,2031,445.0
REGULAR_SEASON,DET_RB_02,season_rec_yd,2031,5120.0
REGULAR_SEASON,PIT_WR_05,season_rec_td,2030,11.0
REGULAR_SEASON,P100095_EDGE,season_sacks,2027,19.0
REGULAR_SEASON,LAC_QB_01,season_int,2027,25.0
REGULAR_SEASON,KC_LB_02,season_tackles,2027,128.0
REGULAR_SEASON,P101267_DT,season_forced_fumbles,2031,6.0
REGULAR_SEASON,IND_QB_01,career_pass_yd,2031,27111.0
REGULAR_SEASON,IND_QB_01,career_pass_td,2031,232.0
REGULAR_SEASON,CIN_RB_01,career_rush_yd,2031,10641.0
REGULAR_SEASON,CIN_RB_01,career_rush_td,2031,91.0
REGULAR_SEASON,CIN_RB_01,career_rec,2031,1976.0
REGULAR_SEASON,CIN_RB_01,career_rec_yd,2031,22607.0
REGULAR_SEASON,PHI_WR_03,career_rec_td,2031,39.0
REGULAR_SEASON,BAL_EDGE_02,career_sacks,2031,65.0
REGULAR_SEASON,TB_QB_02,career_int,2031,72.0
REGULAR_SEASON,PHI_LB_02,career_tackles,2031,595.0
REGULAR_SEASON,SEA_DT_02,career_forced_fumbles,2031,13.0
PLAYOFFS,DEN_QB_01,career_pass_yd,2031,3582.0
PLAYOFFS,DEN_QB_01,career_pass_td,2031,32.0
PLAYOFFS,CIN_RB_01,career_rush_yd,2031,1200.0
PLAYOFFS,CIN_RB_01,career_rush_td,2031,11.0
PLAYOFFS,CIN_RB_01,career_rec,2031,231.0
PLAYOFFS,CIN_RB_01,career_rec_yd,2031,2778.0
PLAYOFFS,CLE_WR_02,career_rec_td,2031,6.0
PLAYOFFS,DET_EDGE_02,career_sacks,2031,10.0
PLAYOFFS,LV_QB_01,career_int,2031,9.0
PLAYOFFS,NYJ_LB_02,career_tackles,2031,86.0
PLAYOFFS,KC_DT_01,career_forced_fumbles,2027,2.0
